distribution,model,hamiltonian_error_clean,step_size
gaussian,Explicit NNODEgHMC,0.33850017000000004,0.3
gaussian,Explicit NNODEgHMC,0.7038389400000001,0.3
gaussian,Explicit NNODEgHMC,1.0628657,0.3
gaussian,NNODEgHMC,0.00265451,0.3
gaussian,NNODEgHMC,0.06234956,0.3
gaussian,NNODEgHMC,0.15033585000000002,0.3
gaussian,NNODEgHMC,0.12441012,0.3
gaussian,NNODEgHMC,0.05092677,0.3
high_dimensional_gaussian,HMC,0.00091843,0.1
high_dimensional_gaussian,HMC,0.00106871,0.1
high_dimensional_gaussian,HMC,0.00160681,0.1
high_dimensional_gaussian,HMC,0.00154446,0.1
high_dimensional_gaussian,HMC,0.0033091600000000002,0.1
high_dimensional_gaussian,NNgHMC,0.0008833299999999999,0.1
high_dimensional_gaussian,NNgHMC,0.0009282499999999999,0.1
high_dimensional_gaussian,NNgHMC,0.00120292,0.1
high_dimensional_gaussian,NNgHMC,0.0009292,0.1
high_dimensional_gaussian,NNgHMC,0.0020574,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.00073551,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.00456611,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.01917996,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.04568734,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.081213,0.1
high_dimensional_gaussian,NNODEgHMC,0.00073551,0.1
high_dimensional_gaussian,NNODEgHMC,0.00074308,0.1
high_dimensional_gaussian,NNODEgHMC,0.00113097,0.1
high_dimensional_gaussian,NNODEgHMC,0.0007998699999999999,0.1
high_dimensional_gaussian,NNODEgHMC,0.00129007,0.1
normal_normal,HMC,0.05173242,0.1
normal_normal,HMC,0.05185067,0.1
normal_normal,HMC,0.06022216,0.1
normal_normal,HMC,0.18209878,0.1
normal_normal,HMC,0.21617949999999997,0.1
normal_normal,NNgHMC,0.0536662,0.1
normal_normal,NNgHMC,0.1378316,0.1
normal_normal,NNgHMC,0.39462903,0.1
normal_normal,NNgHMC,0.37283084,0.1
normal_normal,NNgHMC,0.6130027,0.1
normal_normal,Explicit NNODEgHMC,0.06447212,0.1
normal_normal,Explicit NNODEgHMC,0.06475066,0.1
normal_normal,Explicit NNODEgHMC,0.3635902,0.1
normal_normal,Explicit NNODEgHMC,0.5095522,0.1
normal_normal,Explicit NNODEgHMC,1.1762667,0.1
normal_normal,NNODEgHMC,0.06447212,0.1
normal_normal,NNODEgHMC,0.06081852,0.1
normal_normal,NNODEgHMC,0.3213539,0.1
normal_normal,NNODEgHMC,0.34317902,0.1
normal_normal,NNODEgHMC,0.6101303,0.1
gaussian,HMC,0.04298706,0.3
gaussian,HMC,0.10359478,0.3
gaussian,HMC,0.09581102,0.3
gaussian,HMC,0.03383828,0.3
gaussian,HMC,0.00588015,0.3
gaussian,NNgHMC,0.04302843,0.3
gaussian,NNgHMC,0.10423224000000002,0.3
gaussian,NNgHMC,0.09903953,0.3
gaussian,NNgHMC,0.03850843,0.3
gaussian,NNgHMC,0.00495503,0.3
gaussian,Explicit NNODEgHMC,0.00253093,0.3
gaussian,Explicit NNODEgHMC,0.09931872000000001,0.3
gaussian,Explicit NNODEgHMC,0.3675934,0.3
gaussian,Explicit NNODEgHMC,0.7757729,0.3
gaussian,Explicit NNODEgHMC,1.2523873,0.3
gaussian,NNODEgHMC,0.00253093,0.3
gaussian,NNODEgHMC,0.06931169,0.3
gaussian,NNODEgHMC,0.13281608,0.3
gaussian,NNODEgHMC,0.080996,0.3
gaussian,NNODEgHMC,0.01393825,0.3
high_dimensional_gaussian,HMC,0.0007821,0.1
high_dimensional_gaussian,HMC,0.00185392,0.1
high_dimensional_gaussian,HMC,0.00280908,0.1
high_dimensional_gaussian,HMC,0.00466022,0.1
high_dimensional_gaussian,HMC,0.00460728,0.1
high_dimensional_gaussian,NNgHMC,0.0007907700000000001,0.1
high_dimensional_gaussian,NNgHMC,0.00191204,0.1
